"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Casey Fien","Twins","5","2","0","73","0","62.0","10.60","1.74","1.31",".280","69.4 %","37.3 %","13.8 %","3.92","3.16","2.71","1.0","3926"
"Ross Detwiler","Nationals","2","7","0","13","13","71.1","4.92","1.77","0.63",".344","71.2 %","45.6 %","6.4 %","4.04","3.66","4.25","0.9","2859"
"Rex Brothers","Rockies","2","1","19","72","0","67.1","10.16","4.81","0.67",".280","88.8 %","48.8 %","9.3 %","1.74","3.36","3.49","0.9","9794"
"Matt Lindstrom","White Sox","2","4","0","76","0","60.2","6.82","3.41","0.30",".330","76.3 %","55.6 %","3.9 %","3.12","3.15","3.87","0.9","4604"
"David Carpenter","Braves","4","1","0","56","0","65.2","10.14","2.74","0.69",".260","90.2 %","38.2 %","8.2 %","1.78","2.83","3.11","0.9","3959"
"Nick Tepesch","Rangers","4","6","0","19","17","93.0","7.35","2.61","1.16",".309","69.1 %","47.3 %","13.5 %","4.84","4.19","3.82","0.9","11716"
"Brett Cecil","Blue Jays","5","1","1","60","0","60.2","10.38","3.41","0.59",".267","77.6 %","51.3 %","9.3 %","2.82","2.88","2.99","0.9","2660"
"Robbie Ross Jr.","Rangers","4","2","0","65","0","62.1","8.37","2.74","0.58",".326","81.1 %","45.4 %","8.3 %","3.03","3.18","3.39","0.9","6819"
"Zack Wheeler","Mets","7","5","0","17","17","100.0","7.56","4.14","0.90",".279","77.8 %","43.2 %","10.2 %","3.42","4.17","4.21","0.9","10310"
"Paco Rodriguez","Dodgers","3","4","2","76","0","54.1","10.44","3.15","0.83",".210","81.8 %","46.6 %","12.2 %","2.32","3.08","2.92","0.9","13398"
"Alexi Ogando","Rangers","7","4","0","23","18","104.1","6.21","3.54","0.95",".254","80.8 %","40.7 %","8.7 %","3.11","4.36","4.64","0.9","10261"
"Sam LeCure","Reds","2","1","1","63","0","61.0","9.74","3.54","0.59",".295","82.1 %","43.0 %","7.4 %","2.66","2.97","3.32","0.9","4664"
"Yusmeiro Petit","Giants","4","1","0","8","7","48.0","8.81","2.06","0.75",".313","73.9 %","30.1 %","6.7 %","3.56","2.86","3.48","0.9","4020"
"Edinson Volquez","- - -","9","12","0","33","32","170.1","7.50","4.07","1.00",".325","64.5 %","47.6 %","11.9 %","5.71","4.24","4.07","0.9","3990"
"Sergio Santos","Blue Jays","1","1","1","29","0","25.2","9.82","1.40","0.35",".175","73.5 %","50.0 %","4.2 %","1.75","1.84","2.61","0.9","4734"
"Jim Johnson","Orioles","3","8","50","74","0","70.1","7.17","2.30","0.64",".327","78.9 %","58.0 %","11.4 %","2.94","3.45","3.38","0.9","3656"
"Junichi Tazawa","Red Sox","5","4","0","71","0","68.1","9.48","1.58","1.19",".321","82.4 %","33.8 %","11.8 %","3.16","3.22","3.03","0.9","4079"
"Jordan Walden","Braves","4","3","1","50","0","47.0","10.34","2.68","0.77",".292","72.3 %","31.1 %","6.5 %","3.45","2.81","3.51","0.8","3271"
"Roy Oswalt","Rockies","0","6","0","9","6","32.1","9.46","2.51","0.84",".442","51.1 %","39.0 %","8.3 %","8.63","3.08","3.39","0.8","571"
"Jonathan Pettibone","Phillies","5","4","0","18","18","100.1","5.92","3.41","0.81",".313","73.2 %","49.4 %","9.6 %","4.04","4.18","4.30","0.8","7106"
"Will Harris","Diamondbacks","4","1","0","61","0","52.2","9.06","2.56","0.51",".326","79.6 %","47.3 %","7.0 %","2.91","2.74","3.12","0.8","3192"
"Jared Burton","Twins","2","9","2","71","0","66.0","8.32","3.00","0.82",".294","74.1 %","41.5 %","8.2 %","3.82","3.61","3.94","0.8","8346"
"J.P. Howell","Dodgers","4","1","0","67","0","62.0","7.84","3.34","0.29",".241","80.7 %","57.2 %","4.3 %","2.18","2.89","3.48","0.8","8245"
"Andrew Albers","Twins","2","5","0","10","10","60.0","3.75","1.05","0.90",".278","60.4 %","43.5 %","7.8 %","4.05","3.96","4.42","0.8","7853"
"Javier Lopez","Giants","4","2","1","69","0","39.1","8.47","2.75","0.23",".261","78.8 %","61.0 %","4.2 %","1.83","2.41","2.92","0.8","1663"
"Mike Dunn","Marlins","3","4","2","75","0","67.2","9.58","3.72","0.67",".271","81.1 %","39.5 %","6.6 %","2.66","3.12","3.70","0.8","9948"
"Anthony Swarzak","Twins","3","2","0","48","0","96.0","6.47","2.06","0.66",".285","77.3 %","45.2 %","6.7 %","2.91","3.28","3.81","0.8","7466"
"Dan Otero","Athletics","2","0","0","33","0","39.0","6.23","1.38","0.00",".333","85.4 %","56.0 %","0.0 %","1.38","2.12","3.18","0.8","7385"
"Jenrry Mejia","Mets","1","2","0","5","5","27.1","8.89","1.32","0.66",".329","78.8 %","58.0 %","12.5 %","2.30","2.46","2.31","0.8","8476"
"Tom Gorzelanny","Brewers","3","6","0","43","10","85.1","8.75","3.27","1.16",".288","72.9 %","44.1 %","12.8 %","3.90","3.94","3.64","0.8","6244"
"Brian Duensing","Twins","6","2","1","73","0","61.0","8.26","3.25","0.59",".348","74.1 %","41.0 %","6.8 %","3.98","3.24","3.71","0.8","4064"
"Kevin Siegrist","Cardinals","3","1","0","45","0","39.2","11.34","4.08","0.23",".195","98.3 %","39.0 %","3.3 %","0.45","2.29","3.00","0.8","8180"
"Johnny Cueto","Reds","5","2","0","11","11","60.2","7.57","2.67","1.04",".236","81.5 %","50.9 %","17.1 %","2.82","3.81","3.23","0.8","6893"
"Trevor Cahill","Diamondbacks","8","10","0","26","25","146.2","6.26","3.99","0.80",".289","73.5 %","56.2 %","12.1 %","3.99","4.26","4.11","0.8","6249"
"Kevin Slowey","Marlins","3","6","0","20","14","92.0","7.43","1.76","1.17",".330","75.5 %","28.7 %","9.4 %","4.11","3.81","4.01","0.8","9918"
"Jeremy Hefner","Mets","4","8","0","24","23","130.2","6.82","2.55","1.38",".284","67.8 %","44.6 %","13.4 %","4.34","4.49","4.05","0.7","1989"
"Taylor Jordan","Nationals","1","3","0","9","9","51.2","5.05","1.92","0.52",".322","66.9 %","57.5 %","7.5 %","3.66","3.49","3.80","0.7","10466"
"Jesse Chavez","Athletics","2","4","1","35","0","57.1","8.63","3.14","0.47",".281","66.9 %","43.5 %","4.8 %","3.92","3.01","3.83","0.7","5448"
"Paul Maholm","Braves","10","11","0","26","26","153.0","6.18","2.76","1.00",".310","71.2 %","51.3 %","13.8 %","4.41","4.24","3.89","0.7","8678"
"J.J. Hoover","Reds","5","5","3","69","0","66.0","9.14","3.55","0.82",".244","81.1 %","30.8 %","7.4 %","2.86","3.47","3.97","0.7","9037"
"Darren O'Day","Orioles","5","3","2","68","0","62.0","8.56","2.18","1.02",".248","89.2 %","36.8 %","10.4 %","2.18","3.58","3.59","0.7","3321"
"Todd Redmond","Blue Jays","4","3","0","17","14","77.0","8.88","2.69","1.52",".277","75.5 %","30.3 %","11.8 %","4.32","4.40","4.16","0.7","9943"
"Brandon Cumpton","Pirates","2","1","0","6","5","30.2","6.46","1.47","0.29",".263","78.4 %","54.3 %","3.7 %","2.05","2.62","3.40","0.7","11366"
"Jason Frasor","Rangers","4","3","0","61","0","49.0","8.82","3.67","0.73",".250","81.4 %","44.6 %","8.5 %","2.57","3.37","3.62","0.7","1906"
"Ernesto Frieri","Angels","2","4","37","67","0","68.2","12.84","3.93","1.44",".293","81.3 %","23.6 %","11.8 %","3.80","3.72","3.49","0.7","5178"
"Joe Kelly","Cardinals","10","5","0","37","15","124.0","5.73","3.19","0.73",".289","82.4 %","51.1 %","8.9 %","2.69","4.01","4.19","0.7","9761"
"Jose Veras","- - -","0","5","21","67","0","62.2","8.62","3.16","0.86",".241","76.7 %","41.8 %","8.3 %","3.02","3.62","3.95","0.7","2063"
"Louis Coleman","Royals","3","0","0","27","0","29.2","9.71","1.82","0.30",".257","97.6 %","41.4 %","4.2 %","0.61","2.04","2.70","0.7","9720"
"Robbie Erlin","Padres","3","3","0","11","9","54.2","6.59","2.47","0.99",".283","70.5 %","37.3 %","9.5 %","4.12","3.83","3.98","0.7","10354"
"Oliver Perez","Mariners","3","3","2","61","0","53.0","12.57","4.42","1.02",".361","78.7 %","30.6 %","9.8 %","3.74","3.26","3.36","0.7","1514"
"Aaron Loup","Blue Jays","4","6","2","64","0","69.1","6.88","1.69","0.65",".299","79.8 %","59.9 %","10.6 %","2.47","3.32","3.31","0.7","10343"
"Jake Diekman","Phillies","1","4","0","45","0","38.1","9.63","3.76","0.23",".311","72.0 %","51.0 %","5.0 %","2.58","2.50","2.87","0.7","5003"
"Tommy Hunter","Orioles","6","5","4","68","0","86.1","7.09","1.46","1.15",".249","82.4 %","39.0 %","10.9 %","2.81","3.68","3.63","0.7","1157"
"Tanner Scheppers","Rangers","6","2","1","76","0","76.2","6.93","2.82","0.70",".252","84.4 %","50.5 %","9.2 %","1.88","3.74","3.88","0.6","10267"
"Antonio Bastardo","Phillies","3","2","2","48","0","42.2","9.91","4.43","0.42",".287","82.4 %","31.4 %","3.8 %","2.32","3.00","4.09","0.6","8844"
"Gonzalez Germen","Mets","1","2","1","29","0","34.1","8.65","4.19","0.26",".313","70.8 %","37.4 %","2.4 %","3.93","2.90","4.16","0.6","5876"
"Tony Watson","Pirates","3","1","2","67","0","71.2","6.78","1.51","0.63",".227","80.7 %","43.8 %","6.7 %","2.39","3.20","3.72","0.6","3132"
"Tim Collins","Royals","3","6","0","66","0","53.1","8.78","4.73","0.51",".307","70.1 %","37.7 %","4.8 %","3.54","3.40","4.29","0.6","3164"
"Josh Outman","Rockies","3","0","0","61","0","54.0","8.83","3.83","0.50",".340","70.7 %","51.3 %","7.0 %","4.33","3.25","3.62","0.6","4004"
"Jaime Garcia","Cardinals","5","2","0","9","9","55.1","6.99","2.44","0.98",".300","72.3 %","63.0 %","15.4 %","3.58","3.72","3.27","0.6","8137"
"Jake McGee","Rays","5","3","1","71","0","62.2","10.77","3.16","1.15",".286","73.7 %","42.5 %","12.9 %","4.02","3.41","3.11","0.6","7550"
"Randy Choate","Cardinals","2","1","0","64","0","35.1","7.13","2.80","0.00",".260","76.9 %","68.4 %","0.0 %","2.29","2.57","3.30","0.6","813"
"Ian Kennedy","- - -","7","10","0","31","31","181.1","8.09","3.62","1.34",".295","69.1 %","38.2 %","13.2 %","4.91","4.59","4.19","0.6","6986"
"Joel Peralta","Rays","3","8","1","80","0","71.1","9.34","4.29","0.88",".227","70.2 %","26.7 %","7.2 %","3.41","3.68","4.26","0.6","2332"
"Dan Jennings","Marlins","2","4","0","47","0","40.2","8.41","3.54","0.22",".328","70.9 %","48.7 %","2.7 %","3.76","2.68","3.60","0.6","8073"
"A.J. Ramos","Marlins","3","4","0","68","0","80.0","9.68","4.84","0.45",".266","72.9 %","38.7 %","4.6 %","3.15","3.24","4.07","0.6","8350"
"Manny Parra","Reds","2","3","0","57","0","46.0","10.96","2.93","0.98",".315","77.6 %","43.8 %","13.2 %","3.33","3.07","2.79","0.6","4279"
"Jason Hammel","Orioles","7","8","1","26","23","139.1","6.20","3.10","1.42",".304","72.1 %","40.1 %","12.8 %","4.97","4.93","4.56","0.6","4538"
"Jamey Wright","Rays","2","2","0","66","1","70.0","8.36","2.96","0.51",".298","76.7 %","50.8 %","7.1 %","3.09","3.13","3.48","0.6","715"
"Blake Parker","Cubs","1","2","1","49","0","46.1","10.68","2.91","0.78",".294","77.4 %","28.7 %","6.7 %","2.72","2.90","3.54","0.6","5224"
"David Hale","Braves","1","0","0","2","2","11.0","11.45","0.82","0.00",".355","91.7 %","63.3 %","0.0 %","0.82","0.78","1.27","0.6","9756"
"Grant Balfour","Athletics","1","3","38","65","0","62.2","10.34","3.88","1.01",".263","84.4 %","37.9 %","11.1 %","2.59","3.49","3.42","0.6","718"
"Scott Downs","- - -","4","4","0","68","0","43.1","7.68","3.95","0.21",".338","82.0 %","64.3 %","6.3 %","2.49","3.09","3.30","0.6","773"
"Justin Grimm","- - -","7","9","0","27","17","98.0","6.98","3.12","1.38",".333","63.7 %","42.9 %","12.9 %","5.97","4.59","4.22","0.6","11720"
"Rafael Soriano","Nationals","3","3","43","68","0","66.2","6.89","2.30","0.95",".287","80.3 %","33.5 %","8.1 %","3.11","3.65","4.05","0.6","1100"
"Brad Ziegler","Diamondbacks","8","1","13","78","0","73.0","5.42","2.71","0.37",".258","80.7 %","70.4 %","12.5 %","2.22","3.40","3.32","0.6","7293"
"Justin Wilson","Pirates","6","1","0","58","0","73.2","7.21","3.42","0.49",".229","84.9 %","53.0 %","6.7 %","2.08","3.41","3.82","0.6","4301"
"Wilton Lopez","Rockies","3","4","0","75","0","75.1","5.73","2.15","0.72",".331","73.0 %","49.6 %","9.4 %","4.06","3.57","3.69","0.6","4227"
"Luis Avilan","Braves","5","0","0","75","0","65.0","5.26","3.05","0.14",".204","83.6 %","57.7 %","2.2 %","1.52","3.28","4.02","0.5","2882"
"Ryan Dempster","Red Sox","8","9","0","32","29","171.1","8.25","4.15","1.37",".296","72.3 %","40.8 %","13.8 %","4.57","4.68","4.21","0.5","517"
"Brandon Workman","Red Sox","6","3","0","20","3","41.2","10.15","3.24","1.08",".345","69.2 %","38.8 %","12.5 %","4.97","3.43","3.18","0.5","11428"
"Taijuan Walker","Mariners","1","0","0","3","3","15.0","7.20","2.40","0.00",".250","53.3 %","38.1 %","0.0 %","3.60","2.25","3.80","0.5","11836"
"Danny Duffy","Royals","2","0","0","5","5","24.1","8.14","5.18","0.00",".284","85.3 %","31.8 %","0.0 %","1.85","3.09","4.60","0.5","3542"
"Jeremy Guthrie","Royals","15","12","0","33","33","211.2","4.72","2.51","1.28",".296","78.2 %","42.9 %","12.1 %","4.04","4.79","4.55","0.5","2072"
"Pedro Strop","- - -","2","5","1","66","0","57.1","10.36","4.08","0.78",".265","67.1 %","48.6 %","13.5 %","4.55","3.55","3.30","0.5","4070"
"Shawn Kelley","Yankees","4","2","0","57","0","53.1","11.98","3.88","1.35",".312","71.4 %","33.1 %","13.1 %","4.39","3.63","3.24","0.5","7773"
"Joe Smith","Indians","6","2","3","70","0","63.0","7.71","3.29","0.71",".282","86.3 %","49.1 %","9.6 %","2.29","3.60","3.70","0.5","3281"
"Tyler Lyons","Cardinals","2","4","0","12","8","53.0","7.30","2.72","0.85",".282","63.9 %","47.4 %","9.6 %","4.75","3.73","3.84","0.5","11334"
"Tom Koehler","Marlins","5","10","0","29","23","143.0","5.79","3.40","0.88",".289","70.8 %","47.6 %","10.4 %","4.41","4.27","4.28","0.5","6570"
"Jose Mijares","Giants","0","3","0","60","0","49.0","9.92","3.67","0.55",".410","76.9 %","34.6 %","5.1 %","4.22","3.05","3.90","0.5","4140"
"Caleb Thielbar","Twins","3","2","0","49","0","46.0","7.63","2.74","0.78",".175","83.3 %","26.7 %","6.3 %","1.76","3.40","4.14","0.5","10078"
"Vin Mazzaro","Pirates","8","2","1","57","0","73.2","5.62","2.57","0.37",".281","78.6 %","52.2 %","4.5 %","2.81","3.31","4.00","0.5","5231"
"Scott Rice","Mets","4","5","0","73","0","51.0","7.24","4.76","0.18",".289","70.4 %","60.3 %","4.0 %","3.71","3.40","3.82","0.5","2743"
"Kelvin Herrera","Royals","5","7","2","59","0","58.1","11.42","3.24","1.39",".281","75.3 %","47.6 %","18.0 %","3.86","3.70","2.86","0.5","6033"
"Craig Breslow","Red Sox","5","2","0","61","0","59.2","4.98","2.72","0.45",".254","81.8 %","44.8 %","4.8 %","1.81","3.60","4.37","0.5","4363"
"Jim Henderson","Brewers","5","5","28","61","0","60.0","11.25","3.60","1.20",".261","88.4 %","27.6 %","12.5 %","2.70","3.58","3.31","0.5","6653"
"James Paxton","Mariners","3","0","0","4","4","24.0","7.88","2.63","0.75",".203","88.5 %","59.1 %","12.5 %","1.50","3.26","3.08","0.4","11828"
"John Lannan","Phillies","3","6","0","14","14","74.1","4.60","3.27","0.73",".313","63.9 %","52.4 %","7.9 %","5.33","4.37","4.71","0.4","7080"
"Rafael Betancourt","Rockies","2","5","16","32","0","28.2","8.48","3.45","0.63",".289","64.3 %","34.6 %","5.0 %","4.08","3.22","4.22","0.4","177"
"Tyler Clippard","Nationals","6","3","0","72","0","71.0","9.25","3.04","1.14",".170","87.8 %","27.9 %","9.4 %","2.41","3.82","4.02","0.4","5640"
"Jordan Lyles","Astros","7","9","1","27","25","141.2","5.91","3.11","1.08",".314","63.1 %","48.4 %","11.6 %","5.59","4.57","4.41","0.4","7593"
"Josh Johnson","Blue Jays","2","8","0","16","16","81.1","9.18","3.32","1.66",".356","63.3 %","45.1 %","18.5 %","6.20","4.62","3.58","0.4","4567"
"Jarred Cosart","Astros","1","1","0","10","10","60.0","4.95","5.25","0.45",".246","85.9 %","54.5 %","7.0 %","1.95","4.35","4.68","0.4","10304"
"Chad Qualls","Marlins","5","2","0","66","0","62.0","7.11","2.76","0.58",".298","82.9 %","63.3 %","11.4 %","2.61","3.32","3.25","0.4","2170"
"Matt Reynolds","Diamondbacks","0","2","2","30","0","27.1","7.57","1.65","0.66",".288","85.1 %","38.8 %","7.7 %","1.98","2.97","3.32","0.4","8887"
"Will Smith","Royals","2","1","0","19","1","33.1","11.61","1.89","1.62",".243","67.8 %","43.0 %","18.8 %","3.24","3.53","2.50","0.4","8048"
"Kevin Gausman","Orioles","3","5","0","20","5","47.2","9.25","2.45","1.51",".328","64.4 %","42.0 %","18.6 %","5.66","3.99","3.04","0.4","14107"
"B.J. Rosenberg","Phillies","2","0","1","22","0","19.2","8.69","4.12","0.00",".345","65.5 %","36.8 %","0.0 %","4.58","2.49","4.29","0.4","7183"
"T.J. McFarland","Orioles","4","1","0","38","1","74.2","6.99","3.37","0.84",".319","73.1 %","57.8 %","12.1 %","4.22","3.84","3.68","0.4","3237"
"Burke Badenhop","Brewers","2","3","1","63","0","62.1","6.06","1.73","0.87",".289","64.0 %","51.1 %","11.8 %","3.47","3.53","3.40","0.4","9736"
"Brian Wilson","Dodgers","2","1","0","18","0","13.2","8.56","2.63","0.00",".250","91.7 %","56.3 %","0.0 %","0.66","2.02","2.82","0.4","6485"
"Daisuke Matsuzaka","Mets","3","3","0","7","7","38.2","7.68","3.72","0.93",".259","67.5 %","28.3 %","7.7 %","4.42","4.32","4.81","0.4","7775"
"Stephen Pryor","Mariners","0","0","0","7","0","7.1","8.59","1.23","0.00",".167","100.0 %","38.9 %","0.0 %","0.00","1.55","2.85","0.4","10663"
"Bruce Rondon","Tigers","1","2","1","30","0","28.2","9.42","3.45","0.63",".329","77.4 %","46.8 %","8.7 %","3.45","3.01","3.20","0.4","5766"
"Francisco Rodriguez","- - -","3","2","10","48","0","46.2","10.41","2.70","1.35",".299","91.1 %","36.4 %","15.2 %","2.70","3.65","3.04","0.4","1642"
"Ross Ohlendorf","Nationals","4","1","0","16","7","60.1","6.71","2.09","1.19",".268","81.9 %","39.1 %","11.0 %","3.28","4.03","3.95","0.4","8268"
"Rob Wooten","Brewers","3","1","0","27","0","27.2","5.86","2.60","0.33",".299","69.4 %","43.7 %","3.2 %","3.90","3.19","4.25","0.4","8532"
"Fernando Abad","Nationals","0","3","0","39","0","37.2","7.65","2.39","0.72",".325","79.9 %","39.3 %","6.3 %","3.35","3.26","3.97","0.3","4994"
"Robert Coello","Angels","2","2","1","16","0","17.0","12.18","4.24","0.53",".317","72.8 %","20.0 %","5.3 %","3.71","2.52","3.28","0.3","1149"
"Jeff Francis","Rockies","3","5","0","23","12","70.1","8.06","3.07","1.54",".344","61.7 %","46.8 %","15.6 %","6.27","4.54","3.82","0.3","4684"
"Ryan Webb","Marlins","2","6","0","66","0","80.1","6.05","3.02","0.56",".266","75.0 %","56.3 %","8.5 %","2.91","3.60","3.79","0.3","7474"
"Jerry Blevins","Athletics","5","0","0","67","0","60.0","7.80","2.55","1.05",".242","77.3 %","31.3 %","8.4 %","3.15","3.88","4.25","0.3","7841"
"Roberto Hernandez","Rays","6","13","1","32","24","151.0","6.74","2.26","1.43",".308","70.6 %","53.2 %","20.9 %","4.89","4.63","3.60","0.3","3273"
"Andrew Miller","Red Sox","1","2","0","37","0","30.2","14.09","4.99","0.88",".338","80.4 %","56.1 %","20.0 %","2.64","3.05","2.44","0.3","6785"
"Tommy Hanson","Angels","4","3","0","15","13","73.0","6.90","3.70","1.23",".320","67.7 %","32.8 %","9.5 %","5.42","4.65","4.83","0.3","9129"
"Sean Marshall","Reds","0","1","0","16","0","10.1","8.71","1.74","0.00",".167","57.1 %","58.3 %","0.0 %","1.74","1.98","2.78","0.3","5905"
"Matt Albers","Indians","3","1","0","56","0","63.0","5.00","3.29","0.29",".274","71.6 %","63.8 %","5.9 %","3.14","3.49","3.82","0.3","4300"
"Carlos Martinez","Cardinals","2","1","1","21","1","28.1","7.62","2.86","0.32",".345","64.9 %","52.3 %","4.0 %","5.08","3.08","3.83","0.3","11682"
"Drake Britton","Red Sox","1","1","0","18","0","21.0","7.29","3.00","0.43",".339","71.4 %","46.7 %","5.9 %","3.86","3.05","3.53","0.3","2868"
"Michael Roth","Angels","1","1","0","15","1","20.0","7.65","2.70","0.00",".369","48.4 %","41.3 %","0.0 %","7.20","2.40","3.63","0.3","13736"
"Ryan Pressly","Twins","3","3","0","49","0","76.2","5.75","3.17","0.59",".282","67.0 %","43.8 %","6.1 %","3.87","3.67","4.29","0.3","7005"
"Seth Maness","Cardinals","5","2","1","66","0","62.0","5.08","1.89","0.58",".311","84.5 %","68.4 %","16.7 %","2.32","3.43","3.13","0.3","12235"
"Jake Odorizzi","Rays","0","1","1","7","4","29.2","6.67","2.43","0.91",".287","74.0 %","32.2 %","7.9 %","3.94","3.89","4.33","0.3","6397"
"Josh Lindblom","Rangers","1","3","0","8","5","31.1","6.03","3.16","1.15",".307","66.8 %","36.2 %","10.0 %","5.46","4.42","4.50","0.3","7882"
"Tyler Cloyd","Phillies","2","7","0","13","11","60.1","6.12","3.73","1.04",".365","64.5 %","39.4 %","8.9 %","6.56","4.49","4.77","0.3","8536"
"Erik Davis","Nationals","1","0","0","10","0","8.2","12.46","1.04","0.00",".400","72.7 %","50.0 %","0.0 %","3.12","0.62","1.41","0.3","8422"
"Brett Anderson","Athletics","1","4","3","16","5","44.2","9.27","4.23","1.01",".359","61.5 %","62.9 %","17.9 %","6.04","3.85","3.26","0.3","8223"
"Joe Saunders","Mariners","11","16","0","32","32","183.0","5.26","3.00","1.23",".332","68.7 %","51.2 %","14.5 %","5.26","4.72","4.23","0.3","4366"
"Kevin Jepsen","Angels","1","3","0","45","0","36.0","9.00","3.50","0.75",".345","67.6 %","40.4 %","7.0 %","4.50","3.38","3.93","0.3","6475"
"Yoervis Medina","Mariners","4","6","1","63","0","68.0","9.40","5.29","0.66",".257","82.6 %","53.8 %","10.6 %","2.91","3.86","3.85","0.3","10498"
"Wandy Rodriguez","Pirates","6","4","0","12","12","62.2","6.61","1.72","1.44",".255","80.0 %","42.3 %","13.2 %","3.59","4.42","4.00","0.3","2586"
"Joe Thatcher","- - -","3","2","0","72","0","39.1","8.24","2.29","0.92",".319","81.5 %","36.3 %","9.3 %","3.20","3.38","3.55","0.3","4620"
"Ronald Belisario","Dodgers","5","7","1","77","0","68.0","6.49","3.71","0.40",".321","70.4 %","61.4 %","7.9 %","3.97","3.64","3.83","0.2","2203"
"Alex Wilson","Red Sox","1","1","0","26","0","27.2","7.16","4.55","0.00",".378","67.4 %","31.1 %","0.0 %","4.88","3.08","4.81","0.2","9239"
"Stephen Fife","Dodgers","4","4","0","12","10","58.1","6.94","3.09","1.08",".343","78.4 %","51.9 %","14.9 %","3.70","4.35","3.89","0.2","8077"
"Jon Garland","Rockies","4","6","0","12","12","68.0","4.24","3.04","1.19",".321","66.7 %","49.1 %","13.6 %","5.82","4.93","4.54","0.2","232"
"Anthony Varvaro","Braves","3","1","1","62","0","73.1","5.28","3.07","0.37",".278","76.8 %","47.2 %","4.5 %","2.82","3.47","4.19","0.2","2385"
"Carlos Carrasco","Indians","1","4","0","15","7","46.2","5.79","3.47","0.77",".364","60.7 %","50.3 %","8.7 %","6.75","4.10","4.33","0.2","6632"
"Jacob Turner","Marlins","3","8","0","20","20","118.0","5.87","4.12","0.84",".285","75.0 %","45.7 %","8.5 %","3.74","4.43","4.71","0.2","10185"
"Aaron Harang","- - -","5","12","0","26","26","143.1","7.10","2.51","1.63",".288","66.4 %","36.0 %","12.7 %","5.40","4.79","4.38","0.2","1451"
"Boone Logan","Yankees","5","2","0","61","0","39.0","11.54","3.00","1.62",".292","85.6 %","47.3 %","20.0 %","3.23","3.82","2.71","0.2","5525"
"Drew Storen","Nationals","4","2","3","68","0","61.2","8.46","2.77","1.02",".319","67.8 %","40.9 %","9.9 %","4.52","3.62","3.71","0.2","6983"
"Darin Downs","Tigers","0","2","0","29","0","35.1","9.42","2.80","1.02",".330","66.8 %","45.0 %","10.5 %","4.84","3.53","3.53","0.2","5903"
"Tim Stauffer","Padres","3","1","0","43","0","69.2","8.27","2.58","0.90",".275","73.8 %","50.5 %","14.3 %","3.75","3.55","3.20","0.2","6432"
"Jeanmar Gomez","Pirates","3","0","0","34","8","80.2","5.91","3.12","0.67",".243","69.6 %","55.4 %","9.5 %","3.35","3.85","3.95","0.2","9033"
"Bobby LaFromboise","Mariners","0","1","0","10","0","10.2","9.28","3.38","0.00",".375","50.0 %","35.5 %","0.0 %","5.91","2.11","3.52","0.2","7758"
"Brandon Beachy","Braves","2","1","0","5","5","30.0","6.90","1.20","1.50",".250","58.3 %","41.6 %","13.5 %","4.50","4.08","3.60","0.2","8851"
"Al Alburquerque","Tigers","4","3","0","53","0","49.0","12.86","6.24","0.92",".312","73.5 %","40.4 %","12.8 %","4.59","3.72","3.48","0.2","6324"
"Heath Hembree","Giants","0","0","0","9","0","7.2","14.09","2.35","0.00",".267","100.0 %","53.3 %","0.0 %","0.00","0.70","1.59","0.2","11632"
"Tom Wilhelmsen","Mariners","0","3","24","59","0","59.0","6.86","5.03","0.31",".253","66.9 %","43.5 %","3.5 %","4.12","3.69","4.57","0.2","9975"
"Gavin Floyd","White Sox","0","4","0","5","5","24.1","9.25","4.44","1.48",".333","71.9 %","50.0 %","20.0 %","5.18","4.61","3.60","0.2","3886"
"Vidal Nuno","Yankees","1","2","0","5","3","20.0","4.05","2.70","0.90",".219","89.1 %","34.8 %","6.5 %","2.25","4.50","5.32","0.2","9674"
"Carlos Torres","Mets","4","6","0","33","9","86.1","7.82","1.77","1.56",".266","83.5 %","43.6 %","16.3 %","3.44","4.30","3.50","0.2","7624"
"Daniel Webb","White Sox","0","0","0","9","0","11.1","7.94","3.18","0.00",".281","69.2 %","56.3 %","0.0 %","3.18","2.34","3.19","0.2","10558"
"Buddy Boshers","Angels","0","0","0","25","0","15.1","7.63","4.70","0.00",".317","63.6 %","43.9 %","0.0 %","4.70","3.11","4.27","0.2","8490"
"Marc Rzepczynski","- - -","0","0","0","38","0","30.2","8.51","2.93","0.59",".298","73.3 %","56.0 %","8.7 %","3.23","3.37","3.55","0.2","6612"
"Juan Perez","Blue Jays","1","2","0","19","0","31.2","9.38","4.26","0.85",".253","63.2 %","59.8 %","14.3 %","3.69","3.71","3.39","0.2","2557"
"Michael Tonkin","Twins","0","0","0","9","0","11.1","7.94","2.38","0.00",".265","50.0 %","41.2 %","0.0 %","0.79","2.08","3.52","0.2","10315"
"James McDonald","Pirates","2","2","0","6","6","29.2","7.58","6.07","0.30",".315","55.3 %","42.2 %","2.7 %","5.76","4.13","5.39","0.2","5523"
"Kyuji Fujikawa","Cubs","1","1","2","12","0","12.0","10.50","1.50","0.75",".323","58.8 %","50.0 %","10.0 %","5.25","2.80","2.85","0.2","14443"
